page_id,position_name,company_name,position_url,tag_eng,tag_kor
271619,"Supply Chain Management, Associate/Lead",뉴베슬,https://www.wanted.co.kr/wd/271619,기타,기타
272603,"Software Engineer (Server Applications, AI)",센드버드코리아,https://www.wanted.co.kr/wd/272603,기타,기타
270338,NLP AI 엔지니어,에이블제이,https://www.wanted.co.kr/wd/270338,AI Engineer,AI 엔지니어
265517,Sr. Product Planning Manager (VD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/265517,기타,기타
272960,AI Research Scientist - DCARS (전문연가능),뷰노,https://www.wanted.co.kr/wd/272960,AI Researcher,AI 연구원
272632,[ATI]AI Engineer - LLM Application,앤서스랩코리아,https://www.wanted.co.kr/wd/272632,AI Engineer,AI 엔지니어
270083,"AI Researcher (OCR, 비전-언어모델)",인터엑스,https://www.wanted.co.kr/wd/270083,AI Researcher,AI 연구원
271097,의료영상 AI 개발자(석사 이상),뉴큐어엠,https://www.wanted.co.kr/wd/271097,AI Engineer,AI 엔지니어
272471,AI 솔루션 구축 프로젝트 개발 PL•PM,알체라,https://www.wanted.co.kr/wd/272471,기타,기타
268265,AI솔루션 영업직,임팩티브에이아이,https://www.wanted.co.kr/wd/268265,기타,기타
270293,[광고사업부] AI Engineer (3년이상),매드업,https://www.wanted.co.kr/wd/270293,AI Engineer,AI 엔지니어
271616,자연어처리(NLP)/ Python 엔진 개발,아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/271616,기타,기타
266110,머신러닝/딥러닝 (AI) 엔지니어,모니터코퍼레이션,https://www.wanted.co.kr/wd/266110,Machine Learning Engineer,머신러닝 엔지니어
270955,Lead AI Engineer,엔젤스윙,https://www.wanted.co.kr/wd/270955,AI Engineer,AI 엔지니어
265021,APLUS AI_편집 디자이너(계약직),버즈니(Buzzni),https://www.wanted.co.kr/wd/265021,기타,기타
270717,"머신러닝,AI 개발자",아티스트유나이티드,https://www.wanted.co.kr/wd/270717,Machine Learning Engineer,머신러닝 엔지니어
270437,[AI] Project Manager (PM/PL),메사쿠어컴퍼니,https://www.wanted.co.kr/wd/270437,기타,기타
265019,APLUS AI_B2B SaaS Sales Manager (아웃바운드),버즈니(Buzzni),https://www.wanted.co.kr/wd/265019,기타,기타
270743,[Tech] Machine Learning Engineer - AI Researcher,현대오토에버,https://www.wanted.co.kr/wd/270743,Machine Learning Engineer,머신러닝 엔지니어
264232,AI-Powered 어플리케이션 설계 도구 영업 리더,리얼라이즈소프트,https://www.wanted.co.kr/wd/264232,기타,기타
261182,Global Growth Strategy (해외 BD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/261182,기타,기타
271960,제조 AI 비전 알고리즘 개발,기아,https://www.wanted.co.kr/wd/271960,AI Engineer,AI 엔지니어
269668,ML engineer/ AI researcher (Senior),알세미,https://www.wanted.co.kr/wd/269668,Machine Learning Engineer,머신러닝 엔지니어
268525,AI 전략 리더 (Head of AI Strategy),휴머스온,https://www.wanted.co.kr/wd/268525,기타,기타
261479,"AI Researcher (OCR, 비전-언어모델)",인터엑스,https://www.wanted.co.kr/wd/261479,AI Researcher,AI 연구원
268660,디지털 콘텐츠 AE (3년 이상),마더브레인(Motherbrain),https://www.wanted.co.kr/wd/268660,기타,기타
262107,Solution Engineering Team Lead,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/262107,기타,기타
271481,Senior AI Engineer,마크비전코리아,https://www.wanted.co.kr/wd/271481,AI Engineer,AI 엔지니어
272075,Game AI엔지니어,보이저,https://www.wanted.co.kr/wd/272075,AI Engineer,AI 엔지니어
268183,AI Engineer (Field Engineer),에이엠스퀘어,https://www.wanted.co.kr/wd/268183,AI Engineer,AI 엔지니어
270199,AI 엔지니어,인휴먼즈,https://www.wanted.co.kr/wd/270199,AI Engineer,AI 엔지니어
262660,AI분야 사업개발 매니저,한국딥러닝,https://www.wanted.co.kr/wd/262660,기타,기타
269254,AI 기반 글로벌 마케팅 매니저,머스트핀테크,https://www.wanted.co.kr/wd/269254,기타,기타
268007,Medical AI 의료기기 국내 영업,웨이센(waycenInc.),https://www.wanted.co.kr/wd/268007,기타,기타
272824,AI 서비스 PO,씨제이올리브영(CJ올리브영),https://www.wanted.co.kr/wd/272824,기타,기타
258539,[Align] AI 리서치 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/258539,AI Researcher,AI 연구원
268847,AI Researcher,인핸스(Enhans),https://www.wanted.co.kr/wd/268847,AI Researcher,AI 연구원
263522,AI 기반 콘텐츠 플랫폼 PO (Product Owner),머스트핀테크,https://www.wanted.co.kr/wd/263522,기타,기타
270791,[SDx] Backend Developer - 비전 AI 모델 개발,현대오토에버,https://www.wanted.co.kr/wd/270791,기타,기타
266232,AI 개발자(전문연구요원 가능),씨알에스큐브(CRScube),https://www.wanted.co.kr/wd/266232,AI Engineer,AI 엔지니어
269320,AI 피부분석 스타트업 PM (프로덕트매니저),룰루랩(lululab),https://www.wanted.co.kr/wd/269320,기타,기타
218907,AI플랫폼 영업 담당자,마키나락스,https://www.wanted.co.kr/wd/218907,기타,기타
246517,빅데이터/AI 법률 플랫폼 서비스 운영 PM,채권도시,https://www.wanted.co.kr/wd/246517,기타,기타
271338,"AI 에이전트 핵심 개발자 - LLM, API, RPA 연동 전문가",싸이버로지텍,https://www.wanted.co.kr/wd/271338,AI Engineer,AI 엔지니어
251911,백엔드 개발자 (AI/LLM 서비스),스마트마인드,https://www.wanted.co.kr/wd/251911,기타,기타
268747,AI 소프트웨어 엔지니어(3년~),인포그랩,https://www.wanted.co.kr/wd/268747,AI Engineer,AI 엔지니어
254881,R&D / AI Researcher,반프,https://www.wanted.co.kr/wd/254881,AI Researcher,AI 연구원
234298,[AX] AI/ML 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/234298,AI Engineer,AI 엔지니어
265013,APLUS AI_B2B SaaS Sales Manager (인바운드),버즈니(Buzzni),https://www.wanted.co.kr/wd/265013,기타,기타
262613,비전 AI 솔루션 아키텍트,한국딥러닝,https://www.wanted.co.kr/wd/262613,기타,기타
269842,AI 보안 솔루션 국내/해외 사업개발(BD) 담당자,샌즈랩(SANDSLABInc.),https://www.wanted.co.kr/wd/269842,기타,기타
265675,음성 개발자 (가상 인물 음성 생성),씨앤에이아이,https://www.wanted.co.kr/wd/265675,기타,기타
216503,AI Engineer,샵라이브,https://www.wanted.co.kr/wd/216503,AI Engineer,AI 엔지니어
265165,AI 기반 글로벌 마케팅 총괄 매니저,머스트핀테크,https://www.wanted.co.kr/wd/265165,기타,기타
271266,AI 서비스 기획자,크리에이츠,https://www.wanted.co.kr/wd/271266,기타,기타
271854,클라우드-엣지 융합형 AI 자율 인식 드론 개발 CTO(최고기술이사),미러,https://www.wanted.co.kr/wd/271854,기타,기타
272991,APLUS AI_Product Manager (신입~5년),버즈니(Buzzni),https://www.wanted.co.kr/wd/272991,기타,기타
270524,정부과제 AI Consultant,셀렉트스타,https://www.wanted.co.kr/wd/270524,기타,기타
271840,Backend Engineer - Applied AI Engineering,블록체인랩스,https://www.wanted.co.kr/wd/271840,AI Engineer,AI 엔지니어
268077,AX(AI Transformation) 전략 컨설팅 담당자(대리~부장급),인터엑스,https://www.wanted.co.kr/wd/268077,기타,기타
268914,Sales Manager (AI Data 영업),알체라,https://www.wanted.co.kr/wd/268914,기타,기타
263252,AI 제품(툴) 마케팅 기획,피엑스디(pxd),https://www.wanted.co.kr/wd/263252,기타,기타
266302,AI 기술 개발,비바이노베이션,https://www.wanted.co.kr/wd/266302,기타,기타
263139,[서비스개발본부] AI Engineer,차봇모빌리티,https://www.wanted.co.kr/wd/263139,AI Engineer,AI 엔지니어
187299,Solution Engineer,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/187299,기타,기타
214466,AI 기술영업,테스트웍스,https://www.wanted.co.kr/wd/214466,기타,기타
265291,AI Project Manager,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/265291,기타,기타
230817,AI Engineer (LLM),워프스페이스,https://www.wanted.co.kr/wd/230817,AI Engineer,AI 엔지니어
192033,[커머스 AI 스쿼드] AI  백엔드 엔지니어,버즈니(Buzzni),https://www.wanted.co.kr/wd/192033,기타,기타
259705,[DATA&AI] Data Engineer(Back-end),베이글코드(Bagelcode),https://www.wanted.co.kr/wd/259705,Data Engineer,데이터 엔지니어
271507,"AI 분야 B2B 프로젝트 기획, 수행 담당자",한국딥러닝,https://www.wanted.co.kr/wd/271507,기타,기타
261037,[AI연구팀] Computer Vision AI 엔지니어,텔레픽스,https://www.wanted.co.kr/wd/261037,AI Engineer,AI 엔지니어
265863,AI 엔지니어,덴컴,https://www.wanted.co.kr/wd/265863,AI Engineer,AI 엔지니어
270767,AI 솔루션 개발 팀장,한국딥러닝,https://www.wanted.co.kr/wd/270767,기타,기타
265533,총무 리더 (팀장),인라이플,https://www.wanted.co.kr/wd/265533,기타,기타
255370,AI 엔지니어 (5년 이상),버티컬바,https://www.wanted.co.kr/wd/255370,AI Engineer,AI 엔지니어
268818,시니어 AI엔지니어,딥아이,https://www.wanted.co.kr/wd/268818,AI Engineer,AI 엔지니어
268775,AI Engineer,앙트러리얼리티,https://www.wanted.co.kr/wd/268775,AI Engineer,AI 엔지니어
271396,Technical AI 프로젝트 매니저,포지큐브(POSICUBE),https://www.wanted.co.kr/wd/271396,기타,기타
271454,AI에듀테크기업 퍼포먼스마케터 (2년 이상),위버스마인드,https://www.wanted.co.kr/wd/271454,기타,기타
272642,[ATI]이미지 생성 AI 전문가,앤서스랩코리아,https://www.wanted.co.kr/wd/272642,기타,기타
268408,프로덕트 전략 매니저,마키나락스,https://www.wanted.co.kr/wd/268408,기타,기타
269642,AI 개발자(LLM Engineer),다이렉트클라우드랩,https://www.wanted.co.kr/wd/269642,AI Engineer,AI 엔지니어
231152,AI 엔지니어 (전문연구요원 신규/편입 가능),워트인텔리전스,https://www.wanted.co.kr/wd/231152,AI Engineer,AI 엔지니어
269200,AI 기반 사주앱 콘텐츠 기획 및 마케팅 운영,화승엔지니어링,https://www.wanted.co.kr/wd/269200,기타,기타
253428,AI 로보틱스 어플리케이션 소프트웨어 개발자,씨메스(CMES),https://www.wanted.co.kr/wd/253428,기타,기타
270748,[Tech] Machine Learning Engineer - AI 서비스 개발_대화/언어 서비스,현대오토에버,https://www.wanted.co.kr/wd/270748,Machine Learning Engineer,머신러닝 엔지니어
269003,제품 설치 Project Manager,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/269003,기타,기타
272401,AI 서비스 개발 담당,케이알시스,https://www.wanted.co.kr/wd/272401,기타,기타
268193,AI 소프트웨어 개발자,디딤365,https://www.wanted.co.kr/wd/268193,기타,기타
271506,"AI 분야 조달사업 기획, 수행 담당자",한국딥러닝,https://www.wanted.co.kr/wd/271506,기타,기타
271115,AI기획팀 AI 상품 기획자,헥토,https://www.wanted.co.kr/wd/271115,기타,기타
148462,AI Enterprise Manager,업스테이지,https://www.wanted.co.kr/wd/148462,기타,기타
269244,AI Glass 글로벌 사업 총괄 리드,시어스랩(Seerslab),https://www.wanted.co.kr/wd/269244,기타,기타
229283,AI Engineer,아하랩스,https://www.wanted.co.kr/wd/229283,AI Engineer,AI 엔지니어
272511,[인턴] 리테일 광고 매니저  (Campaign Manager),펄스애드,https://www.wanted.co.kr/wd/272511,기타,기타
268301,[Monetai] PO (Product Owner),하얀마인드,https://www.wanted.co.kr/wd/268301,기타,기타
268102,Vision AI 및 Graphics 기술 연구 총괄,시어스랩(Seerslab),https://www.wanted.co.kr/wd/268102,기타,기타
264264,영업 플랫폼 시스템 개발자 (iMAP),에이아이에이생명(AIA생명),https://www.wanted.co.kr/wd/264264,기타,기타
216427,Senior Software Engineer(Embedded AI) 전문연구요원,토르드라이브,https://www.wanted.co.kr/wd/216427,기타,기타
262611,AI 엔지니어,한국딥러닝,https://www.wanted.co.kr/wd/262611,AI Engineer,AI 엔지니어
268610,AI Backend Engineer,인핸스(Enhans),https://www.wanted.co.kr/wd/268610,기타,기타
267073,AI Enterprise Planning,업스테이지,https://www.wanted.co.kr/wd/267073,기타,기타
271648,AI ML Specialist,비상교육,https://www.wanted.co.kr/wd/271648,AI Engineer,AI 엔지니어
270825,[EnIT] Backend Developer - 생성형 AI 서비스 기획/개발,현대오토에버,https://www.wanted.co.kr/wd/270825,기타,기타
270750,[Tech] Machine Learning Engineer - MLOps / AI 검색 엔지니어,현대오토에버,https://www.wanted.co.kr/wd/270750,Machine Learning Engineer,머신러닝 엔지니어
270562,AI Researcher / Engineer,퍼스트해빗,https://www.wanted.co.kr/wd/270562,AI Researcher,AI 연구원
188124,스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발 (신입),아하랩스,https://www.wanted.co.kr/wd/188124,기타,기타
267072,AI Application Engineer,업스테이지,https://www.wanted.co.kr/wd/267072,기타,기타
267362,시니어 AI 엔지니어,웨이커,https://www.wanted.co.kr/wd/267362,AI Engineer,AI 엔지니어
271986,로보틱스/AI 전략 및 실행 계획 수립,기아,https://www.wanted.co.kr/wd/271986,기타,기타
270095,"[AI R&D] Software Engineer (Frontend, Backend)",세이프에이아이,https://www.wanted.co.kr/wd/270095,기타,기타
270859,[IVI] Backend Developer - AI agent 개발/운영,현대오토에버,https://www.wanted.co.kr/wd/270859,기타,기타
269261,AI 기반 콘텐츠 플랫폼 TPM (Product Manager),머스트핀테크,https://www.wanted.co.kr/wd/269261,기타,기타
254617,AI연구소 AI기반연구팀 팀장 (7년 이상),아이스크림아트,https://www.wanted.co.kr/wd/254617,AI Researcher,AI 연구원
269980,AI 솔루션 영업 담당자,라이언로켓,https://www.wanted.co.kr/wd/269980,기타,기타
268129,생성형 AI 개발자,시어스랩(Seerslab),https://www.wanted.co.kr/wd/268129,AI Engineer,AI 엔지니어
267483,AI어플리케이션 개발,필라넷,https://www.wanted.co.kr/wd/267483,기타,기타
270389,온라인 광고 영업 담당자,인라이플,https://www.wanted.co.kr/wd/270389,기타,기타
178793,Head of Sales,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/178793,기타,기타
258833,AI 사업계획서/제안서 작성 담당자,한국딥러닝,https://www.wanted.co.kr/wd/258833,기타,기타
61920,Account Executive (KR),베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/61920,기타,기타
265397,Jr. AI Business Development Manager (영업 지원),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/265397,기타,기타
209473,AI 개발자(3년 이상),네비웍스,https://www.wanted.co.kr/wd/209473,AI Engineer,AI 엔지니어
268729,AI DevOps 엔지니어(3년~),인포그랩,https://www.wanted.co.kr/wd/268729,MLOps Engineer,MLOps 엔지니어
268823,[의료R&D본부] 뇌영상연구팀 AI연구원,딥노이드(Deepnoid),https://www.wanted.co.kr/wd/268823,AI Researcher,AI 연구원
271656,[AI B2B SaaS] PO (Product Owner),코발틱스,https://www.wanted.co.kr/wd/271656,기타,기타
261537,AI 연구/개발 담당자,씨어스테크놀로지,https://www.wanted.co.kr/wd/261537,AI Researcher,AI 연구원
270983,[AI Lab 제품기획팀] Product Manager,모아데이타,https://www.wanted.co.kr/wd/270983,기타,기타
