page_id,position_name,company_name,position_url
271619,"Supply Chain Management, Associate/Lead",뉴베슬,https://www.wanted.co.kr/wd/271619
272603,"Software Engineer (Server Applications, AI)",센드버드코리아,https://www.wanted.co.kr/wd/272603
270338,NLP AI 엔지니어,에이블제이,https://www.wanted.co.kr/wd/270338
265517,Sr. Product Planning Manager (VD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/265517
272960,AI Research Scientist - DCARS (전문연가능),뷰노,https://www.wanted.co.kr/wd/272960
272632,[ATI]AI Engineer - LLM Application,앤서스랩코리아,https://www.wanted.co.kr/wd/272632
270083,"AI Researcher (OCR, 비전-언어모델)",인터엑스,https://www.wanted.co.kr/wd/270083
271097,의료영상 AI 개발자(석사 이상),뉴큐어엠,https://www.wanted.co.kr/wd/271097
272471,AI 솔루션 구축 프로젝트 개발 PL•PM,알체라,https://www.wanted.co.kr/wd/272471
268265,AI솔루션 영업직,임팩티브에이아이,https://www.wanted.co.kr/wd/268265
270293,[광고사업부] AI Engineer (3년이상),매드업,https://www.wanted.co.kr/wd/270293
271616,자연어처리(NLP)/ Python 엔진 개발,아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/271616
266110,머신러닝/딥러닝 (AI) 엔지니어,모니터코퍼레이션,https://www.wanted.co.kr/wd/266110
270955,Lead AI Engineer,엔젤스윙,https://www.wanted.co.kr/wd/270955
265021,APLUS AI_편집 디자이너(계약직),버즈니(Buzzni),https://www.wanted.co.kr/wd/265021
270717,"머신러닝,AI 개발자",아티스트유나이티드,https://www.wanted.co.kr/wd/270717
270437,[AI] Project Manager (PM/PL),메사쿠어컴퍼니,https://www.wanted.co.kr/wd/270437
265019,APLUS AI_B2B SaaS Sales Manager (아웃바운드),버즈니(Buzzni),https://www.wanted.co.kr/wd/265019
270743,[Tech] Machine Learning Engineer - AI Researcher,현대오토에버,https://www.wanted.co.kr/wd/270743
264232,AI-Powered 어플리케이션 설계 도구 영업 리더,리얼라이즈소프트,https://www.wanted.co.kr/wd/264232
261182,Global Growth Strategy (해외 BD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/261182
271960,제조 AI 비전 알고리즘 개발,기아,https://www.wanted.co.kr/wd/271960
269668,ML engineer/ AI researcher (Senior),알세미,https://www.wanted.co.kr/wd/269668
268525,AI 전략 리더 (Head of AI Strategy),휴머스온,https://www.wanted.co.kr/wd/268525
261479,"AI Researcher (OCR, 비전-언어모델)",인터엑스,https://www.wanted.co.kr/wd/261479
